Cenario,TipoHash,FatorCarga,N,Colisoes_Put,Colisoes_Get,Colisoes_Remove
NUMERICO,MULTIPLICACAO,0.5,10000,0,0,0
NUMERICO,MULTIPLICACAO,0.5,10000,4864,4864,4878
NUMERICO,MULTIPLICACAO,0.5,10000,4864,4864,4878
NUMERICO,MULTIPLICACAO,0.75,10000,15100,15100,15133
NUMERICO,MULTIPLICACAO,0.9,10000,44760,44760,45212
NUMERICO,MULTIPLICACAO,0.5,10000,4864,4864,4878
NUMERICO,MULTIPLICACAO,0.75,10000,15100,15100,15133
NUMERICO,MULTIPLICACAO,0.9,10000,44760,44760,45212
NUMERICO,MULTIPLICACAO,0.5,10000,4864,4864,4878
NUMERICO,MULTIPLICACAO,0.75,10000,15100,15100,15133
NUMERICO,MULTIPLICACAO,0.9,10000,44760,44760,45212
NUMERICO,MULTIPLICACAO,0.5,10000,4864,4864,4878
NUMERICO,DIVISAO,0.5,10000,4866,4866,4880
NUMERICO,MID-SQUARE,0.5,10000,44962404,44962404,44997216
UNIFORME,DJB2,0.5,10000,4805,4805,4805
UNIFORME,POLINOMIAL,0.5,10000,4796,4796,4796
